Colonne1;Overall
n;17,981
ID (median [IQR]);  8,990.00 [4,495.00, 13,485.00]
Age (median [IQR]);     25.00 [21.00, 28.00]
Overall (median [IQR]);     66.00 [62.00, 71.00]
Potential (median [IQR]);     71.00 [67.00, 75.00]
Value (median [IQR]);425,000.00 [60,000.00, 1,200,000.00]
Wage (median [IQR]);  4,000.00 [2,000.00, 12,000.00]
Special (median [IQR]);  1,633.00 [1,449.00, 1,786.00]
Acceleration (mean (SD));     64.58 (14.92)
Aggression (mean (SD));     58.32 (338.65)
Agility (mean (SD));     63.33 (14.80)
Balance (mean (SD));     63.80 (14.10)
Ball control (mean (SD));     60.61 (339.40)
Composure (mean (SD));     57.88 (12.94)
Crossing (mean (SD));     49.73 (18.47)
Curve (mean (SD));     49.79 (338.82)
Dribbling (mean (SD));     55.01 (19.02)
Finishing (mean (SD));     47.74 (339.24)
Free kick accuracy (mean (SD));     43.13 (17.57)
GK diving (mean (SD));     16.66 (17.70)
GK handling (mean (SD));     16.44 (16.93)
GK kicking (mean (SD));     16.34 (16.55)
GK positioning (mean (SD));     16.43 (17.05)
GK reflexes (mean (SD));     16.78 (17.97)
Heading accuracy (mean (SD));     52.30 (17.42)
Interceptions (mean (SD));     59.21 (760.54)
Jumping (mean (SD));     64.88 (11.89)
Long passing (mean (SD));     52.40 (15.54)
Long shots (mean (SD));     49.69 (338.90)
Marking (mean (SD));     59.23 (830.27)
Penalties (mean (SD));     48.97 (15.81)
Positioning (mean (SD));     54.66 (479.29)
Reactions (mean (SD));     61.90 (9.18)
Short passing (mean (SD));     58.26 (14.95)
Shot power (mean (SD));     55.62 (17.41)
Sliding tackle (mean (SD));     50.57 (480.62)
Sprint speed (mean (SD));     64.80 (14.65)
Stamina (mean (SD));     68.33 (481.87)
Standing tackle (mean (SD));     54.96 (587.14)
Strength (mean (SD));     65.28 (12.62)
Vision (mean (SD));     52.97 (14.39)
Volleys (mean (SD));     45.72 (338.49)
CB (mean (SD));     55.55 (12.19)
CDM (mean (SD));     56.87 (10.31)
CF (mean (SD));     59.03 (9.93)
CM (mean (SD));     58.51 (8.89)
ID2 (median [IQR]);214,057.00 [192,622.00, 231,448.00]
LAM (mean (SD));     59.25 (9.88)
LB (mean (SD));     56.98 (9.79)
LCB (mean (SD));     55.55 (12.19)
LCM (mean (SD));     58.51 (8.89)
LDM (mean (SD));     56.87 (10.31)
LF (mean (SD));     59.03 (9.93)
LM (mean (SD));     60.06 (9.35)
LS (mean (SD));     58.20 (9.18)
LW (mean (SD));     59.36 (9.98)
LWB (mean (SD));     57.70 (9.14)
RAM (mean (SD));     59.25 (9.88)
RB (mean (SD));     56.98 (9.79)
RCB (mean (SD));     55.55 (12.19)
RCM (mean (SD));     58.51 (8.89)
RDM (mean (SD));     56.87 (10.31)
RF (mean (SD));     59.03 (9.93)
RM (mean (SD));     60.06 (9.35)
RS (mean (SD));     58.20 (9.18)
RW (mean (SD));     59.36 (9.98)
RWB (mean (SD));     57.70 (9.14)
ST (mean (SD));     58.20 (9.18)
